"Gene","p_value","log2FC","pct.1","pct.2","q_value","neg_log10_p","Classification"
"Tdp1",9.12401659893679e-79,1.23817981602586,0.144,0.034,2.00646249027219e-74,73.697568954754,"UP"
"Dexi",9.75560458491387e-79,0.986601782281145,0.162,0.044,2.14535500426841e-74,73.6685008323194,"NO"
"Alkbh3",9.78639646550426e-79,1.18791935640348,0.148,0.036,2.15212644672904e-74,73.6671322155784,"UP"
"Ap4s1",1.12667723677284e-78,0.753231756412886,0.187,0.059,2.47767591138715e-74,73.6059555014713,"NO"
"N4bp2l1",1.28766493094429e-78,0.612197934977706,0.215,0.076,2.83170394963959e-74,73.5479521534394,"NO"
"Exoc5",1.33367076383829e-78,0.352454087259658,0.288,0.123,2.93287537675679e-74,73.5327063905949,"NO"
"Dock5",1.49505713537118e-78,0.844065208411327,0.265,0.116,3.28778014639477e-74,73.4830972313996,"NO"
"Lrig1",1.49521193000256e-78,1.17531893628572,0.185,0.06,3.28812055526862e-74,73.4830522679178,"UP"
"Usp47",1.52259967927314e-78,0.294295165757386,0.383,0.188,3.34834895468957e-74,73.4751692874772,"NO"
"Chpt1",1.56696373313218e-78,0.760221195095511,0.243,0.097,3.44590994553098e-74,73.462696076473,"NO"
"Lrig3",1.88065090153097e-78,1.48121091525331,0.133,0.029,4.13573939755677e-74,73.3834468349453,"UP"
"Slc20a2",1.89268605062272e-78,0.563501863994834,0.314,0.146,4.16220589392442e-74,73.3806764401303,"NO"
"Farp1",1.92152029993097e-78,0.90470107066207,0.482,0.308,4.2256152915782e-74,73.3741100445175,"NO"
"Slc49a4",1.95724593192227e-78,0.645751454248426,0.182,0.056,4.30417952889025e-74,73.3661096223834,"NO"
"Rcbtb2",2.08724099560775e-78,1.25273514593044,0.173,0.052,4.59005167344101e-74,73.3381824252767,"UP"
"Chd2",2.09502999862421e-78,0.223315603363367,0.539,0.304,4.60718046997451e-74,73.3365647754662,"NO"
"Arhgap20",2.3880041847677e-78,1.10138889485122,0.131,0.026,5.25146000272264e-74,73.2797199379319,"UP"
