gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DHFR2,140.7339888,-1.316965335,0.567411935,-2.321003936,0.020286631,0.999938054
FMN1,34.39652314,2.214228373,0.958418188,2.310294609,0.020871849,0.999938054
EHBP1L1,385.1693138,1.216202911,0.52939961,2.297324908,0.021600242,0.999938054
SPAST,425.135915,-0.833145292,0.363325085,-2.293112495,0.021841529,0.999938054
RHBDF2,504.5416114,1.452876608,0.634152333,2.291053003,0.021960348,0.999938054
SLC11A1,1023.145289,1.961743108,0.857152761,2.288673847,0.02209831,0.999938054
MSX2,110.0476169,-4.063767528,1.783063829,-2.279092572,0.022661563,0.999938054
SPATA22,9.305067922,-4.166440268,1.830251376,-2.276430616,0.022820249,0.999938054
ITGAX,959.1667378,1.903375226,0.836785759,2.274626695,0.022928333,0.999938054
LINC00342,58.50867858,-2.250508068,0.992554174,-2.267390664,0.023366371,0.999938054
TEFM,122.0614769,1.103979279,0.489775066,2.254053658,0.024192793,0.999938054
FUT10,47.91982422,-1.826341689,0.811853761,-2.249594418,0.024474703,0.999938054
PLPP2,132.1203655,-1.821881423,0.809977988,-2.24929745,0.024493578,0.999938054
RASAL3,94.31180494,1.659952087,0.738055684,2.249087871,0.024506906,0.999938054
LAIR1,427.1717563,1.356516842,0.605300097,2.241064968,0.025021867,0.999938054
ZNF10,128.7459706,-1.39987393,0.62614187,-2.235713657,0.025370534,0.999938054
MLIP,27.68052078,2.928625949,1.311680916,2.232727421,0.025566925,0.999938054
CCR5,64.80781577,2.546465851,1.141219709,2.231354603,0.025657649,0.999938054
SLC4A5,137.2178374,-1.393085542,0.625738972,-2.226304585,0.025993787,0.999938054
RNASET2,814.8489369,1.11216358,0.500262021,2.223162131,0.026204869,0.999938054
KIF6,117.4286718,-3.694864992,1.668983689,-2.213841284,0.026839699,0.999938054
ZNF367,72.52140069,-1.347383691,0.61376721,-2.195268286,0.028144358,0.999938054
C18orf21,93.48417407,1.080465368,0.4934614,2.189564101,0.028555865,0.999938054
SLC37A2,210.8739523,1.43781616,0.659230824,2.181051168,0.029179632,0.999938054
PPM1N,30.51500237,4.181731388,1.921536692,2.176243319,0.029537071,0.999938054
ZNF345,51.3211909,1.526242124,0.701403089,2.17598432,0.029556433,0.999938054
ZFAND4,21.4525692,2.182943024,1.003346597,2.175661961,0.029580547,0.999938054
SIGLEC9,53.21446899,1.613584865,0.744767716,2.166561238,0.030268326,0.999938054
C5AR1,1538.083404,1.88524976,0.878956643,2.144872304,0.031963058,0.999938054
DUSP2,171.1573674,1.48473903,0.69292791,2.142703461,0.032136917,0.999938054
KLHL6,188.0415325,2.128974197,0.998406988,2.132371089,0.032976352,0.999938054
C17orf107,39.9292962,3.534628752,1.660639829,2.128474032,0.033297801,0.999938054
GPR183,1032.355856,2.161227722,1.016521319,2.126101718,0.033494791,0.999938054
RGS1,2824.279403,2.248270741,1.058761251,2.123491713,0.033712669,0.999938054
DOCK2,188.1866688,1.247134147,0.587835802,2.121568884,0.033873958,0.999938054
MAGIX,30.52610027,2.558517373,1.206036183,2.121426711,0.033885909,0.999938054
SH3TC1,235.3862739,1.654206777,0.781179129,2.11757677,0.034210927,0.999938054
LAPTM5,6029.335818,1.302987274,0.621237682,2.097405409,0.035957703,0.999938054
DACT3-AS1,9.381627814,4.545676433,2.18018034,2.085000194,0.037069283,0.999938054
ZDHHC15,150.6385267,-1.316443916,0.634318659,-2.075366847,0.037952548,0.999938054
CD28,17.22257124,3.674384538,1.772354527,2.073165658,0.038156865,0.999938054
ARHGAP9,110.2689915,1.611747123,0.77770728,2.072434146,0.038224972,0.999938054
NR4A3,326.2551109,1.532401804,0.739889386,2.071122835,0.038347318,0.999938054
LUZP2,806.2763575,-1.482529335,0.716234697,-2.06989321,0.038462346,0.999938054
CTSC,278.3869978,0.925268526,0.447397181,2.068114341,0.038629272,0.999938054
MIR210HG,80.19539199,1.516844758,0.73392651,2.066752921,0.038757442,0.999938054
ITGA2,259.7824488,1.485976215,0.7208758,2.061348453,0.039269809,0.999938054
KBTBD7,77.53226957,-1.3242305,0.64354618,-2.057708584,0.039618116,0.999938054
SLC35B4,316.968481,-1.009703604,0.49395048,-2.044139332,0.040939784,0.999938054
IRX3,105.0732872,-2.424247911,1.18749662,-2.041477735,0.041203365,0.999938054
MFAP4,281.8189258,-1.360801008,0.669845662,-2.031514252,0.042202855,0.999938054
TMEM132E,314.7122681,-2.066932901,1.017487556,-2.03140853,0.04221357,0.999938054
LCP2,546.5537073,1.366773346,0.674861813,2.025264016,0.042840261,0.999938054
CGN,60.23910069,-1.678844013,0.831632072,-2.018734088,0.043514865,0.999938054
PARVB,463.6384796,1.090922071,0.540883457,2.016926304,0.043703205,0.999938054
CDK19,366.909306,-0.919995173,0.458310379,-2.007362729,0.044711054,0.999938054
GABPA,415.7957122,-0.808480561,0.403075501,-2.005779461,0.044879783,0.999938054
NBEAL2,207.1914554,1.344817445,0.672757745,1.998962411,0.045612421,0.999938054
FOSB,1193.727695,1.46742584,0.734968772,1.996582571,0.045870548,0.999938054
ZNF674,58.20969633,-1.219196281,0.612910062,-1.989192797,0.046679927,0.999938054
ENG,1097.727998,1.086845624,0.546532027,1.988622021,0.046742939,0.999938054
CCDC82,462.1662099,-0.867917366,0.436452554,-1.988572084,0.046748455,0.999938054
LOC100505912,7.09657283,-5.080013601,2.555259349,-1.988061839,0.046804851,0.999938054
MFSD14CP,87.66451018,1.390874697,0.701072059,1.983925447,0.047264152,0.999938054
LINC01119,13.85682174,3.495122288,1.763503047,1.981920187,0.047488174,0.999938054
LAG3,16.7621711,-3.529745397,1.783007811,-1.979657843,0.047741989,0.999938054
SNX18,635.3796894,-1.006448816,0.508460214,-1.979405247,0.047770398,0.999938054
KCNJ14,30.1496701,-1.641946908,0.830925643,-1.976045537,0.04814962,0.999938054
ADAM8,280.348595,1.980964153,1.005948697,1.969249684,0.048924426,0.999938054
ZNF680,352.0160786,-0.904022817,0.459724492,-1.966444758,0.049247258,0.999938054
MAP3K3,323.6412707,0.686194111,0.350420311,1.958203018,0.050206195,0.999938054
FLT4,118.527778,1.367601299,0.698527582,1.957834357,0.050249453,0.999938054
DNAJB7,53.31299576,-2.208592203,1.129021593,-1.956200144,0.050441582,0.999938054
MISFA,17.50201962,-3.351710435,1.715201098,-1.95412097,0.050686913,0.999938054
PDE11A,29.45107625,-3.442555749,1.763677881,-1.95191865,0.050947864,0.999938054
TTLL9,64.58739419,-1.375996184,0.705975965,-1.949069448,0.051287132,0.999938054
RHOH,58.218439,2.38631594,1.228592952,1.942316157,0.052098838,0.999938054
SLC6A11,186.7538023,-1.957315147,1.009142961,-1.939581629,0.052430555,0.999938054
TCIRG1,631.4492658,1.565057933,0.807052056,1.939227985,0.052473583,0.999938054
NLGN1,276.406915,-1.119185181,0.57726439,-1.938773983,0.052528865,0.999938054
CD83,1452.434141,1.348274556,0.695584993,1.938331863,0.052582747,0.999938054
RASD2,382.590445,1.065761136,0.549854006,1.938262018,0.052591264,0.999938054
LRRC55,205.1050556,-1.872940289,0.969427858,-1.932005846,0.053358784,0.999938054
FSD1L,88.80556656,-1.267957791,0.657352623,-1.928885269,0.053745107,0.999938054
PDCD7,456.0409167,-0.688484577,0.358304495,-1.921506948,0.054667827,0.999938054
HES5,141.8381591,-1.198193787,0.623683997,-1.921155252,0.054712138,0.999938054
FOS,15246.20698,1.318424565,0.686323286,1.920996404,0.054732161,0.999938054
ZBTB14,295.9830024,-0.776572599,0.405148494,-1.916760422,0.055268375,0.999938054
PRELP,451.3929771,-1.451144383,0.758246226,-1.913816824,0.055643565,0.999938054
CCDC89,18.70913632,-4.311349789,2.253967758,-1.91278237,0.055775919,0.999938054
HLTF,490.6711398,-0.849155464,0.44410126,-1.912076234,0.055866417,0.999938054
HACD3,1829.48769,-0.646168812,0.338499912,-1.908918701,0.05627258,0.999938054
GGA2,763.6396179,0.850711363,0.446551528,1.905068753,0.056771135,0.999938054
POLR3F,246.7082917,-0.972855837,0.510846276,-1.90440037,0.056858061,0.999938054
LOC100288069,21.84103616,2.824984126,1.484052678,1.903560546,0.056967441,0.999938054
WDFY3,836.9555375,-0.90546364,0.475832043,-1.902905978,0.057052815,0.999938054
ITGAM,209.3553147,1.669879907,0.878558541,1.900704197,0.057340768,0.999938054
ST20-AS1,51.60934975,1.436577712,0.756069924,1.900059328,0.057425334,0.999938054
RAD51-AS1,10.52763217,-3.431531361,1.808486583,-1.897460226,0.057767223,0.999938054
NOG,301.8341524,-2.148933839,1.134085371,-1.894860735,0.058110854,0.999938054
MASP1,2111.761684,-1.468634948,0.775908237,-1.892794635,0.058385185,0.999938054
CAPN3,209.4928597,-1.541723515,0.814805568,-1.892136695,0.05847277,0.999938054
PCDHB14,47.71318419,-2.249310127,1.189543807,-1.890901464,0.058637499,0.999938054
TPTE2P3,32.20969129,-1.961055919,1.038544024,-1.888274232,0.058989145,0.999938054
DSP,45.376122,2.285146868,1.210300142,1.888082788,0.059014837,0.999938054
MMP25,36.30895657,-1.500913241,0.795968287,-1.885644524,0.059342873,0.999938054
PCDHGA3,13.06596576,-3.78779896,2.011353346,-1.883209118,0.059672034,0.999938054
MSR1,587.0613166,1.714407354,0.910447493,1.88303814,0.059695199,0.999938054
RASGRP1,171.2489695,-1.545625591,0.820970281,-1.882681536,0.059743539,0.999938054
HKDC1,100.0564651,-2.007472021,1.066793273,-1.881781664,0.059865666,0.999938054
SOX4,3064.886125,-1.19498592,0.635502588,-1.880379311,0.060056401,0.999938054
NUP107,192.3048209,-1.000514141,0.532180245,-1.880028712,0.060104165,0.999938054
ADM5,21.87116717,3.305999082,1.763960674,1.874190922,0.060904115,0.999938054
RAC2,187.6009947,1.391468977,0.743898371,1.870509509,0.061413098,0.999938054
SNORA26,9.34036445,-4.515683812,2.414260288,-1.870421277,0.06142534,0.999938054
TMEM168,228.8735094,-1.048073043,0.560860925,-1.868686151,0.061666492,0.999938054
SPMIP4,54.8232759,-1.498558249,0.802893781,-1.866446452,0.061978929,0.999938054
MDFIC,254.5521725,-1.462560739,0.783867715,-1.865825969,0.062065718,0.999938054
PIH1D1,1142.214242,0.584476661,0.313587115,1.863841444,0.062343974,0.999938054
WDFY4,106.786726,1.069720074,0.574083397,1.863353095,0.062412605,0.999938054
NCKAP1L,224.0017257,0.980113498,0.526074861,1.863068491,0.062452631,0.999938054
LRIG1,5929.503144,-1.28079879,0.68780607,-1.862151042,0.062581803,0.999938054
QTRT2,164.1063634,-1.059891569,0.570201507,-1.858801767,0.063055242,0.999938054
SASH1,1036.824387,-0.794073554,0.427684933,-1.856678816,0.063356863,0.999938054
LIN7B,260.7570471,0.736957225,0.396996914,1.856329856,0.063406556,0.999938054
G2E3,153.1393698,-0.989846856,0.534554576,-1.851722723,0.064065649,0.999938054
LRRN1,1620.021995,-1.259008955,0.680393168,-1.85041387,0.064253922,0.999938054
CALHM6,22.73649825,2.22053809,1.200551766,1.849597954,0.064371518,0.999938054
STK33,143.9652273,-1.21437159,0.657227816,-1.847717886,0.064643165,0.999938054
ZNF107,126.9621936,-1.153898466,0.62481388,-1.846787504,0.064777944,0.999938054
FGR,262.6741774,1.399608911,0.758336405,1.845630649,0.064945853,0.999938054
CYTH4,215.4734755,1.164367955,0.633291299,1.838597747,0.065974373,0.999938054
FRS2,553.5440486,-0.620010884,0.33732587,-1.838017593,0.066059813,0.999938054
USH1C,300.0865205,-2.070396449,1.127357357,-1.836504137,0.066283131,0.999938054
LDB3,48.1677176,-1.970395477,1.077388475,-1.828862591,0.067420196,0.999938054
UNC5D,14.01209462,-4.318607219,2.362519105,-1.827967109,0.067554488,0.999938054
ZSCAN12P1,109.4070733,-1.008529038,0.551961965,-1.827171259,0.067674024,0.999938054
SERAC1,123.5846571,0.901414988,0.493470645,1.826684115,0.067747278,0.999938054
WASL,1306.699101,-0.624903586,0.342479943,-1.82464287,0.06805494,0.999938054
CD53,667.8553891,1.028024666,0.564213495,1.822049058,0.068447542,0.999938054
PABPN1L,30.66962525,-2.215269499,1.216109299,-1.821603947,0.068515102,0.999938054
TGS1,181.1243567,-0.890804665,0.48943362,-1.820072486,0.068747967,0.999938054
MRGPRF,38.07568259,-1.62597569,0.894385194,-1.817981447,0.069066969,0.999938054
HEY1,3296.301319,-0.981038683,0.539785521,-1.817460167,0.069146682,0.999938054
GPR153,246.7884768,1.322973225,0.728580941,1.815821896,0.069397697,0.999938054
