ens_id,gene,log2FC,aveEXP,t,p-value,q-value
ENSG00000101236,RNF24,0.49,3.53,7.37,1.89E-12,1.61E-13
ENSG00000101246,ARFRP1,-0.13,4.97,-2.06,0.0399,0.00244
ENSG00000101247,NDUFAF5,0.43,4.49,7.01,1.82E-11,1.51E-12
ENSG00000101251,SEL1L2,0.1,0.21,2.67,0.00793,0.000502
ENSG00000101255,TRIB3,1.81,3.04,17.89,3.28E-48,6.93E-49
ENSG00000101265,RASSF2,1.32,5.27,11.26,1.69E-24,1.95E-25
ENSG00000101266,CSNK2A1,1.19,5.03,16.75,4.42E-44,8.33E-45
ENSG00000101276,SLC52A3,0.05,1.83,0.46,0.644,0.0362
ENSG00000101282,RSPO4,-0.54,0.75,-10.28,3.14E-21,3.33E-22
ENSG00000101290,CDS2,0.73,4.57,11.93,8.37E-27,1.01E-27
ENSG00000101292,PROKR2,-0.26,0.16,-8.7,2.95E-16,2.77E-17
ENSG00000101294,HM13,1.85,6.63,36.3,9.95E-108,4.02E-107
ENSG00000101298,SNPH,-2.85,4,-30.73,1.40E-91,1.79E-91
ENSG00000101306,MYLK2,0.66,1.61,8.94,5.49E-17,5.26E-18
ENSG00000101307,SIRPB1,0.55,1.68,4.63,5.68E-06,4.04E-07
ENSG00000101310,SEC23B,1.73,5.05,29.12,1.36E-86,1.28E-86
ENSG00000101311,FERMT1,1.27,1.82,9.54,7.74E-19,7.76E-20
ENSG00000101327,PDYN,0.05,1.54,0.29,0.771,0.0429
ENSG00000101331,CCM2L,-0.59,1.94,-9.96,3.50E-20,3.62E-21
ENSG00000101333,PLCB4,-1.06,1.52,-14.25,5.27E-35,7.82E-36
ENSG00000101335,MYL9,1.24,5.37,8.9,7.24E-17,6.91E-18
ENSG00000101336,HCK,2.66,3.04,24.01,7.60E-70,3.26E-70
ENSG00000101337,TM9SF4,0.64,4.95,9.02,3.11E-17,3.00E-18
ENSG00000101342,TLDC2,0.07,0.8,1.42,0.157,0.00929
ENSG00000101343,CRNKL1,1.47,3.64,25.26,4.30E-74,2.15E-74
ENSG00000101346,POFUT1,2.36,3.76,35.5,1.65E-105,5.68E-105
ENSG00000101347,SAMHD1,1.75,4.22,22.91,4.28E-66,1.59E-66
ENSG00000101349,PAK5,-1.85,1.5,-18.85,1.11E-51,2.60E-52
ENSG00000101350,KIF3B,-0.33,4.27,-4.64,5.37E-06,3.81E-07
ENSG00000101353,MROH8,-0.2,2.19,-3.34,0.000967,6.35E-05
ENSG00000101361,NOP56,0.59,6.87,9.2,8.73E-18,8.53E-19
ENSG00000101363,MANBAL,0.9,6.25,16.28,2.27E-42,4.10E-43
ENSG00000101365,IDH3B,0.32,6.44,5.48,9.39E-08,7.05E-09
ENSG00000101367,MAPRE1,2.32,5.76,39.37,5.58E-116,4.57E-115
ENSG00000101384,JAG1,2.05,3.78,18.57,1.09E-50,2.47E-51
ENSG00000101391,CDK5RAP1,0.22,4.7,4.1,5.33E-05,3.67E-06
ENSG00000101400,SNTA1,-1.08,5.54,-10.08,1.38E-20,1.44E-21
ENSG00000101405,OXT,-0.26,0.19,-8.01,3.20E-14,2.85E-15
ENSG00000101407,TTI1,0.82,3.59,13.29,1.49E-31,2.02E-32
ENSG00000101412,E2F1,1.24,3.3,12.51,8.32E-29,1.06E-29
ENSG00000101413,RPRD1B,0.93,3.49,15.74,2.07E-40,3.56E-41
ENSG00000101417,PXMP4,1.11,2.71,18.49,2.08E-50,4.71E-51
ENSG00000101421,CHMP4B,0.28,6.89,5.14,5.19E-07,3.81E-08
ENSG00000101425,BPI,0.39,0.85,5.44,1.18E-07,8.84E-09
ENSG00000101438,SLC32A1,-2.18,1.84,-17.06,3.41E-45,6.64E-46
ENSG00000101439,CST3,0.49,10.91,4.01,7.92E-05,5.42E-06
ENSG00000101440,ASIP,1.21,0.92,18.3,1.04E-49,2.30E-50
ENSG00000101442,ACTR5,0.44,2.54,9.29,4.65E-18,4.58E-19
ENSG00000101443,WFDC2,-0.86,2.94,-8.36,2.92E-15,2.68E-16
ENSG00000101444,AHCY,1.87,6.03,30.02,2.16E-89,2.41E-89
ENSG00000101445,PPP1R16B,-3.7,3.54,-30.43,1.19E-90,1.43E-90
ENSG00000101447,FAM83D,1.67,1.94,17.3,4.46E-46,8.92E-47
ENSG00000101452,DHX35,0.67,2.94,11.95,7.55E-27,9.16E-28
ENSG00000101457,DNTTIP1,1.47,4.93,29.39,1.96E-87,1.93E-87
ENSG00000101460,MAP1LC3A,-1.29,6.79,-13.42,5.06E-32,6.98E-33
ENSG00000101463,SYNDIG1,-0.73,4.03,-6.43,5.48E-10,4.37E-11
ENSG00000101464,PIGU,1.71,4.45,29,3.24E-86,2.98E-86
ENSG00000101470,TNNC2,-1.54,1.56,-26.69,8.52E-79,5.38E-79
ENSG00000101473,ACOT8,0.04,5.22,0.81,0.419,0.0239
ENSG00000101474,APMAP,1.09,6.24,19.7,9.54E-55,2.43E-55
ENSG00000101489,CELF4,-4.04,3.6,-27.46,2.55E-81,1.82E-81
ENSG00000101493,ZNF516,0.74,2.42,10.81,5.71E-23,6.33E-24
ENSG00000101542,CDH20,-0.48,3.13,-4.03,7.11E-05,4.87E-06
ENSG00000101544,ADNP2,0.95,2.78,16.17,5.78E-42,1.03E-42
ENSG00000101546,RBFA,1.08,3.76,20.51,1.20E-57,3.34E-58
ENSG00000101557,USP14,0.84,4.46,14.45,1.06E-35,1.60E-36
ENSG00000101558,VAPA,1.31,6.9,23.33,1.55E-67,6.04E-68
ENSG00000101574,METTL4,1.11,2.81,23.54,2.95E-68,1.19E-68
ENSG00000101577,LPIN2,0.3,3.98,4.25,2.93E-05,2.03E-06
ENSG00000101596,SMCHD1,0.33,3.1,4.54,8.30E-06,5.86E-07
ENSG00000101605,MYOM1,-1.02,1.73,-13.02,1.33E-30,1.76E-31
ENSG00000101608,MYL12A,2.56,6.57,29.32,3.15E-87,3.06E-87
ENSG00000101624,CEP76,0.62,2.21,12.31,4.30E-28,5.36E-29
ENSG00000101638,ST8SIA5,-0.75,2.91,-5.56,6.20E-08,4.68E-09
ENSG00000101639,CEP192,-0.06,3.26,-0.86,0.393,0.0225
ENSG00000101654,RNMT,-0.23,3.91,-3.83,0.00016,1.08E-05
ENSG00000101665,SMAD7,-0.77,3.01,-10.42,1.11E-21,1.20E-22
ENSG00000101670,LIPG,2.29,1.86,19.65,1.48E-54,3.73E-55
ENSG00000101680,LAMA1,0.73,1.96,5.93,8.98E-09,6.94E-10
ENSG00000101695,RNF125,0.13,0.81,2.35,0.0194,0.0012
ENSG00000101745,ANKRD12,-0.27,2.8,-3.49,0.000562,3.72E-05
ENSG00000101746,NOL4,-0.63,2.62,-6.02,5.62E-09,4.36E-10
