"Gene","logFC_mouse","AveExpr","t","PValue","FDR","B","padj","negLog10P","Classification"
"Gm42941",-0.428975732486811,2.56932528060384,-0.818573161773509,0.434755618695389,0.551911898455682,-6.11433224936449,0.551911898455682,0.258130243046633,"NO"
"Rnaseh2c",0.240193029226425,1.81889895890279,0.49315065930019,0.634045132157416,0.726451823535398,-6.11450801829084,0.726451823535398,0.138793181732775,"NO"
"Dmwd",-0.405939638874828,4.68774814271648,-1.17352039146205,0.271539569790026,0.390656285193364,-6.11518045145358,0.390656285193364,0.408205184018331,"NO"
"Gtf2h5",0.328620754843697,3.3571607158895,0.956068391612277,0.364704180249884,0.484748253105742,-6.11518939075357,0.484748253105742,0.314483747319713,"NO"
"Hipk3",0.35874295226212,5.56437932883567,1.1949883054985,0.263474505873085,0.382179263431247,-6.11530899160322,0.382179263431247,0.41773288091706,"NO"
"Lysmd1",-0.295224463715926,2.75913397375276,-0.861655660484738,0.411867140296098,0.530884654323916,-6.11538498234973,0.530884654323916,0.274999828131749,"NO"
"Bcat1",0.481606153217047,5.87144637700384,1.19342261324075,0.264056058977103,0.382691317129046,-6.11560258925886,0.382691317129046,0.417151391357213,"NO"
"Tmem9",0.311087716691805,3.19794851476614,0.934404575571863,0.375162103361154,0.494731401503016,-6.11651728645766,0.494731401503016,0.3056305232993,"NO"
"F11r",-0.488056887501886,5.38243810061215,-1.21040109882118,0.257805096602244,0.37596479385049,-6.11655351045888,0.37596479385049,0.424852821434907,"NO"
"Cop1",0.423604974334041,6.74822580840838,1.18800801274054,0.266075272214609,0.384959968310498,-6.11692807101336,0.384959968310498,0.414584430090916,"NO"
"Mark2",-0.396739593386052,7.84175861495023,-1.16972802150772,0.272984803338799,0.392120153580505,-6.11712352531103,0.392120153580505,0.406580835935259,"NO"
"Akain1",-0.219523915428627,1.53781997542186,-0.380445459262364,0.712685530418045,0.79107652098748,-6.11752764729728,0.79107652098748,0.101781505079744,"NO"
"Mrpl23",-0.320780211699877,3.23070291663415,-0.962617483995884,0.361585286187584,0.481834667785604,-6.11795078656382,0.481834667785604,0.317101955922695,"NO"
"Wbp1l",-0.439315105139815,6.57085618926043,-1.21410086974564,0.256459105301711,0.374708886583386,-6.11801303287352,0.374708886583386,0.4263060070707,"NO"
"9330185C12Rik",0.0175688580214461,1.31203327584198,0.0239997400005151,0.981391197908901,0.988135733193793,-6.11808678224796,0.988135733193793,0.0051833953635425,"NO"
"Nipsnap2",0.347252707519417,5.99574200069699,1.198150649431,0.262303075178931,0.380887493795408,-6.11826550890689,0.380887493795408,0.419203286894871,"NO"
"Lias",-0.410439345252798,5.39131579840402,-1.20560536870664,0.259558384247651,0.378037276919646,-6.11849428640569,0.378037276919646,0.422465373807483,"NO"
"Psmd1",0.423726748673629,6.67275527935352,1.18787403584513,0.266125393233072,0.384997920766983,-6.11889774384286,0.384997920766983,0.414541615950887,"NO"
"Rasip1",-0.331686557291236,2.7526815803657,-0.867408928253622,0.408875319596123,0.527914969605121,-6.11905874759136,0.527914969605121,0.27743602293042,"NO"
"0610040B10Rik",-0.336288845638453,2.91107558493372,-0.895300949266783,0.394587591421503,0.514246613565335,-6.11939946239162,0.514246613565335,0.288828559554931,"NO"
"Fbxo28",0.352258667183872,5.50765530824075,1.18909212909896,0.265669983668191,0.38454620592748,-6.12018182368356,0.38454620592748,0.415051469194947,"NO"
"Nfyc",0.344999042936022,6.303883809655,1.19488342557757,0.263513429407173,0.382179844161808,-6.12019656215909,0.382179844161808,0.417732220996676,"NO"
"Lamp1",0.473759454052633,5.71022074729016,1.19150615900809,0.264769316166597,0.383518092696466,-6.12020143682784,0.383518092696466,0.41621414312858,"NO"
"Sirt4",-0.348373296146469,4.27823226574901,-1.12854008107635,0.289082291328416,0.409173564645068,-6.12025463510114,0.409173564645068,0.388092432388108,"NO"
"Sgcb",0.414540382498052,4.29961196267393,1.1123228908152,0.295623975115292,0.415302012444883,-6.12049099775117,0.415302012444883,0.381635964407603,"NO"
"Kcns3",-0.227369547507803,1.58589548791077,-0.3820285807582,0.71155262414949,0.790145530957981,-6.12051380009853,0.790145530957981,0.102292911910608,"NO"
"Chst5",0.260213282305657,2.14974029784514,0.628957834030074,0.545443705300907,0.650044014490525,-6.12053362155888,0.650044014490525,0.187057236275303,"NO"
"Pde6h",0.0248476855094025,1.32725051282453,0.0454207958486877,0.964791565449459,0.976240401129119,-6.12095667537882,0.976240401129119,0.0104432232884211,"NO"
"Rell2",-0.298378526687572,2.398091383665,-0.760550966340834,0.466923872770778,0.580559435343749,-6.12131324647794,0.580559435343749,0.236153312324222,"NO"
"Homez",0.244634420857423,2.09064233410143,0.593973265303572,0.567566203440367,0.669072996462947,-6.12200918796705,0.669072996462947,0.174526497730477,"NO"
"D930016D06Rik",-0.459799937409974,5.81768674671307,-1.21407644852966,0.25646797096036,0.374708886583386,-6.12225545862518,0.374708886583386,0.4263060070707,"NO"
"Cald1",0.355566972799114,6.86436697498208,1.18244820508532,0.268161645286683,0.387109734453617,-6.1223316408784,0.387109734453617,0.412165907559023,"NO"
"Tubgcp2",0.356602697969653,4.56985452773173,1.13395769973485,0.286922695130039,0.406724087845519,-6.12252684105774,0.406724087845519,0.390700106157975,"NO"
"Hhex",-0.318030286480783,2.00752391438464,-0.642741851964989,0.536867444332357,0.64269119735675,-6.12253188096129,0.64269119735675,0.191997648378957,"NO"
"C3ar1",0.517444831555835,3.71238464514041,1.01188422396227,0.338754516155586,0.459023768041903,-6.12254849092439,0.459023768041903,0.338164826309805,"NO"
